# MTProto прокси список
# Формат: server port secret
# Обновлено: 

# ✅ Нормальный пинг

85.192.32.50 443 5f3f0e63b28e7e9884b872748e8425ba

# ❗️ВЫСОКИЙ ПИНГ
FAST.tgsecurity.online 443 dd7c5d4e1f2a3b9c8d7e6f5a4b3c2d1e0f

94.139.245.54 443 2bb5e160fa2ae1bcc4936446a908ff3e
germany2.vpn.2d.su 4433 94c8dd61ee6e43dde6dbbe2573ba8507
tg.hellohiro.ru 8443 dd973e178b06e6b204a3f6d8044dda69c7
3bukvi.life 443 78da390908c0089109d0da6e69945ed3
pro.sosproxy.space 443 ee9d4772354ab76b3d16bc0423b6f44a2b70726f2e736f7370726f78792e7370616365
s24.sosproxy.space 443 ee8a673d5fbe8440b21ae4ea04d302a8c964726976652e676f6f676c652e636f6d
bereg-connect.bopen.bond 443 eeb4b54ddf0b9f3b82dd7b4a5a888ea82d766b2e636f6d
s25.sosproxy.space 443 ee6bce98eb3e97600bfbde28d07139ccc864726976652e676f6f676c652e636f6d
s17.sosproxy.space 443 ee012b708ceea371d59b4968ceb506462664726976652e676f6f676c652e636f6d
tggo.store 443 7uzWmAwONp7D1ujd83Bwkr50Z2dvLnN0b3Jl
tg.proxywing.net 443 dd398e9112420ca2ad72bac8bfd851ff42
95.111.234.50 443 ee349a239357a92e695d3fa1af04bf3e2c636c6f7564666c6172652e636f6d
2.26.101.98 443 ee79612e72759919d926b370909e148e
akenai.tg 853 ee54ce330e4690cc297d2b031ff3f288b06d742e616b656e61692e636c69636b
oneproxys.best 443 eed68360458af63073bac1394e8c7a48da6f6e6570726f7879732e62657374
proxystepa.site 443 eed68360458af63073bac1394e8c7a48da70726f787973746570612e73697465
bestproxy.ink 443 eed68360458af63073bac1394e8c7a48da6265737470726f78792e696e6b
# ➕ Добавленные прокси
194.163.178.191 443 ee17b0eed24f5ff4a16d129d7af8461383636c6f7564666c6172652e636f6d
161.97.173.38 443 ee9a86c8272eb58b2bba88803e89740be4636c6f7564666c6172652e636f6d
hyper.sosproxy.space 443 ee44adc4da5280b196fa8192ffb712cef964726976652e676f6f676c652e636f6d
freeroute.online 443 eed68360458af63073bac1394e8c7a48da66726565726f7574652e6f6e6c696e65
r.vkgosuslugi.ru 443 eed2e6a93f2e3a5a07911966a4fb6f5a2777622e7275
t.vkgosuslugi.ru 443 ee34fd4e8e9b8d0008a2d80f7e8b80ce8277622e7275
2.27.4.155 443 ee72757664732e7275ac1bc58e1f6132
fra23.mtproxygram.pro 443 eeb3126d2c304e0be28a496e4d06dfa9c362726f777365722e79616e6465782e636f6d
news1804.mtproxygram.lol 443 ee7b24a10d317732c2de878d4a2735c14d62726f777365722e79616e6465782e636f6d
poll1804.mtproxygram.lol 443 eef52f8bf7270831df2823e04b85cc826062726f777365722e79616e6465782e636f6d
spb1.webvirt.cloud 443 ee938dd87467bc49301de2e9765cf20f4374656c2e776562766972742e636c6f7564
proxyg.site 443 eed68360458af63073bac1394e8c7a48da70726f7879672e73697465
tg.plusonevpn.com 1984 dd4c7671c23268cbcb7330ff7ee9ab0622
proxy.insnapp.space 443 eeaac85835fb7d25b992ea0416b2ede07570726f78792e696e736e6170702e7370616365
proxytop.space 443 7d793037a0760186574b0282f2f435e7
89.19.209.59 443 ddb679bcc81d02124fe415a88a6b57aeb0
193.233.216.229 443 ee7d167e1711c22b396f9afc8170c7e1e767656e6f74656b2e7275
172.232.152.197 443 ee7b9a9f5f0b6969271510b2e13ba5e7757777772e636c6f7564666c6172652e636f6d
185.254.67.114 8443 ee79612e727579219de678765050b8d4
94.141.122.163 443 3a726a5880455f42cf8c560fd036350d
2.26.125.172 443 667161e1e8616dd33fdf8e43e40784d9
cz.ciaowner.lol 443 ee3bde6d51d22cf4b0b48127147ca830f869642e766b2e636f6d
45.59.113.54 443 ee6f934ad5e64a9f3891801e026ac2eeb467656e6f74656b2e7275
ru.mt-proxy.org 443 7o3RUkVfOKZs-rXel_a7LVltdC1wcm94eS5vcmc
68.209.58.136 443 7qrlnYPq09_iSeqgJPCjfGtvem9uLnJ1
89.208.230.117 443 6e75f9f5821fef846ac11eec9eea1d17
knoll0422-c522b2fb.proxytg.ink 443 28ed0c814a97362df6fed7339922e795
158.160.182.136 443 ddde79834f5b791e913dbbb9a06c3e4489
nettle5e12-8aa8df11.proxytg.ink 443 39682ffd39beefcc991d12c832866bca
telegram.crocnet.ru 443 dddb556b30e8aefc3443956f9a971bdcec
93.77.166.23 8443 7891036543d63f761250413ab04082db
brookb631-82e07f23.proxytg.ink 443 f6fe059664c24962c99fbcc32553249e
hit.info.gf 443 7jQYWyCvqaDiltduuSzJ2upoaXQuaW5mby5nZg==
144.91.120.39 443 ee24f320786f2121a2e797016f01a5e614636c6f7564666c6172652e636f6d
171.22.16.234 443 ee70be37d188ae696def1e2c4f70fcfd7b7777772e676f6f676c652e636f6d
tg.plusonevpn.com 1984 dd4c7671c23268cbcb7330ff7ee9ab0622
74.178.90.0 8443 d9515e93ee7c20769e34ac11c736e097
209.38.213.171 3952 dd0ce0df188047081c964f346948bd0ba5
