# MTProto прокси список
# Формат: server port secret
# Обновлено: 2026-04-06

# ✅ Нормальный пинг
proxytelega.store 443 5d41402abc4b2a76b9719d911017c592
89.169.167.123 443 eeb827aa7dd083babc9a303f21c9f04e09766b2e7275
compassionate-heyrovsky.cfd 1984 c76b8cb6d99f20a7c1a3ef1b67bbb070
87.239.107.157 1984 8da89d4cbe02211ef329d004819e4eb9
85.192.32.50 443 5f3f0e63b28e7e9884b872748e8425ba
easy.n3o.bio 8888 8a8a000099994444cccc000088884444

# ❗️ВЫСОКИЙ ПИНГ
94.139.245.54 443 2bb5e160fa2ae1bcc4936446a908ff3e
# ❗️ВЫСОКИЙ ПИНГ
clickproxy.online 443 ee79612e7275e8e3100d7adf36efa572
# ❗️ВЫСОКИЙ ПИНГ
open.n3o.ooo 444 4edd9df53791e5110747df997977efff

# Дополнительные
44.223.90.89 80 dd104462821249bd7ac519130220c25d09
77.91.65.51 443 124ff2925d1661ae6e9d66046da46dbc
pepe.n3o.ooo 4444 00000040044004000000400040000000
37.139.34.48 443 6ec460e02414894df4f38bbf5be72816
tg.alabalainds.xyz 9443 0867e1b95cc9aa87049f7d68fa83760d
